drug_key,y_hard,OR,feature_set,algorithm,cluster
acarbose,1,0,GSVA,kmeans,0
acetaminophen,1,1,GSVA,kmeans,1
acetazolamide,1,0,GSVA,kmeans,0
adapin,1,1,GSVA,kmeans,0
allopurinol,1,0,GSVA,kmeans,0
amiodarone,1,1,GSVA,kmeans,0
amitriptyline,1,1,GSVA,kmeans,0
amphotericinb,1,0,GSVA,kmeans,0
aspirin,1,1,GSVA,kmeans,1
azathioprine,1,1,GSVA,kmeans,0
bendazac,1,1,GSVA,kmeans,1
benzbromarone,1,1,GSVA,kmeans,1
benziodarone,1,1,GSVA,kmeans,1
bortezomib,1,1,GSVA,kmeans,0
caffeine,0,0,GSVA,kmeans,0
captopril,1,0,GSVA,kmeans,0
carbamazepine,1,1,GSVA,kmeans,1
carbontetrachloride,1,1,GSVA,kmeans,0
carboplatin,1,0,GSVA,kmeans,0
chlormezanone,1,1,GSVA,kmeans,1
chlorpheniramine,0,0,GSVA,kmeans,0
chlorpromazine,1,1,GSVA,kmeans,0
chlorpropamide,1,1,GSVA,kmeans,1
cimetidine,1,1,GSVA,kmeans,0
ciprofloxacin,1,0,GSVA,kmeans,0
cisplatin,1,0,GSVA,kmeans,0
clofibrate,1,1,GSVA,kmeans,1
clomipramine,1,1,GSVA,kmeans,0
cyclophosphamide,1,0,GSVA,kmeans,0
cyclosporinea,1,0,GSVA,kmeans,0
danazol,1,1,GSVA,kmeans,1
dantrolene,1,1,GSVA,kmeans,1
diazepam,1,1,GSVA,kmeans,1
diclofenac,1,0,GSVA,kmeans,0
diltiazem,1,1,GSVA,kmeans,1
disopyramide,1,0,GSVA,kmeans,1
disulfiram,1,1,GSVA,kmeans,1
doxorubicin,1,0,GSVA,kmeans,0
enalapril,1,1,GSVA,kmeans,0
ethambutol,1,1,GSVA,kmeans,1
ethanol,1,1,GSVA,kmeans,0
ethionamide,1,1,GSVA,kmeans,1
etoposide,1,0,GSVA,kmeans,0
famotidine,1,0,GSVA,kmeans,0
fenofibrate,1,1,GSVA,kmeans,1
fluphenazine,0,0,GSVA,kmeans,0
flutamide,1,1,GSVA,kmeans,1
gefitinib,1,1,GSVA,kmeans,0
gemfibrozil,1,1,GSVA,kmeans,1
gentamicin,0,0,GSVA,kmeans,0
glibenclamide,1,0,GSVA,kmeans,0
griseofulvin,1,1,GSVA,kmeans,0
haloperidol,1,0,GSVA,kmeans,0
hexachlorobenzene,1,1,GSVA,kmeans,0
hydroxyzine,0,1,GSVA,kmeans,0
ibuprofen,1,1,GSVA,kmeans,0
imatinibmethanesulfonatesalt,1,0,GSVA,kmeans,0
imipramine,1,1,GSVA,kmeans,0
indomethacin,1,1,GSVA,kmeans,0
iproniazid,1,1,GSVA,kmeans,0
isoniazid,1,1,GSVA,kmeans,0
ketoconazole,1,1,GSVA,kmeans,0
labetalol,1,0,GSVA,kmeans,0
lomustine,1,1,GSVA,kmeans,0
mefenamicacid,1,1,GSVA,kmeans,0
meloxicam,1,1,GSVA,kmeans,0
metformin,1,1,GSVA,kmeans,0
methimazole,1,1,GSVA,kmeans,1
methyldopa,1,0,GSVA,kmeans,0
methyltestosterone,1,1,GSVA,kmeans,1
mexiletine,1,0,GSVA,kmeans,0
moxisylyte,1,1,GSVA,kmeans,1
naproxen,1,1,GSVA,kmeans,0
nicotinicacid,1,1,GSVA,kmeans,0
nifedipine,1,1,GSVA,kmeans,1
nimesulide,1,1,GSVA,kmeans,1
nitrofurantoin,1,0,GSVA,kmeans,0
omeprazole,1,1,GSVA,kmeans,1
papaverine,1,1,GSVA,kmeans,0
pemoline,1,0,GSVA,kmeans,0
penicillamine,1,0,GSVA,kmeans,0
perhexiline,1,0,GSVA,kmeans,0
phenobarbital,1,1,GSVA,kmeans,1
phenytoin,1,1,GSVA,kmeans,1
propranolol,0,0,GSVA,kmeans,1
propylthiouracil,1,1,GSVA,kmeans,0
quinidine,1,1,GSVA,kmeans,0
ranitidine,1,0,GSVA,kmeans,0
rifampicin,1,1,GSVA,kmeans,0
simvastatin,1,1,GSVA,kmeans,1
